Year,Prop Number,Title,Prop Desc,Opposing $,Supporting $,No Percentage,Yes Percentage,Pass?,opposing_usd,supporting_usd,total_usd,passed,combined_text,prop_id,main_category,topic_type
1980,1,Parklands and Renewable Resources Investment Program,"PARKLANDS AND RENEWABLE RESOURCES INVESTMENT PROGRAM. This act provides for a bond issue of four hundred ninety-five million dollars ($495,000,000) to be used in a coordinated effort to deal with the interrelated problems of meeting the recreational and open-space requirements of the people of California, conserving and extending the state's water supply, expanding sport and commercial fishing opportunities, and restoring and protecting the agricultural productivity of the state's soil resources pursuant to the Parklands and Renewable Resources Investment Program.",,,53.05,46.95,0.0,,,,0,"parklands and renewable resources investment program parklands and renewable resources investment program. this act provides for a bond issue of four hundred ninety-five million dollars ($495,000,000) to be used in a coordinated effort to deal with the interrelated problems of meeting the recreational and open-space requirements of the people of california, conserving and extending the state's water supply, expanding sport and commercial fishing opportunities, and restoring and protecting the agricultural productivity of the state's soil resources pursuant to the parklands and renewable resources investment program.",1980_Prop_1,Bonds,Environment
1980,10,Rent-Control Through Local Ordinance,RENT. INITIATIVE CONSTITUTIONAL AMENDMENT. Declares rent control to be matter of local government concern. Provides that rent control shall be imposed only by vote of the people through enactment of local ordinances. Prohibits state-enacted rent control. Permits annual rent increases based on Consumer Price Index and additional increases based on other specified factors. Requires that rent control ordinance establish a commission to resolve grievances involving rent increases. Exempts specified types of rental units from rent control. Prohibits landlord retaliation for exercise of tenant's rights. Repeals existing rent control ordinances as of date of next election. Fiscal impact on state or local governments: No state fiscal effect. Minor increases in local election expenditures. Possible increase in local government costs to administer landlord/tenant grievances.,,,64.54,35.46,0.0,,,,0,rent-control through local ordinance rent. initiative constitutional amendment. declares rent control to be matter of local government concern. provides that rent control shall be imposed only by vote of the people through enactment of local ordinances. prohibits state-enacted rent control. permits annual rent increases based on consumer price index and additional increases based on other specified factors. requires that rent control ordinance establish a commission to resolve grievances involving rent increases. exempts specified types of rental units from rent control. prohibits landlord retaliation for exercise of tenant's rights. repeals existing rent control ordinances as of date of next election. fiscal impact on state or local governments: no state fiscal effect. minor increases in local election expenditures. possible increase in local government costs to administer landlord/tenant grievances.,1980_Prop_10,Governance,Voting
1980,11,Taxation. Surtax. Initiative Statute,"Levies a 10-percent surtax on the business income from California sources of energy businesses (except public utilities) whose principal activity is the obtaining, processing, distributing or marketing of oil, gas, coal, or uranium. Allows a tax credit against surtax of $0.50 for every dollar invested in California after January 1, 1979, to increase the production or refining of California crude oil or gas over 1978 base levels. Requires that surtax proceeds be used to fund increased bus and rail service for Californians and to develop alternative transportation fuels. Prohibits businesses from passing surtax on to consumers. Fiscal impact on local or state governments: Depending on exact amount of tax credits claimed in each year, estimated state revenue increases of $150 to $420 million in 1980-81, and $165 to $470 million in 1981-82 could occur. Under existing statutes, approximately one-half of increases would be distributed to local governments for improvement of public transit services.",,,55.68,44.32,0.0,,,,0,"taxation. surtax. initiative statute levies a 10-percent surtax on the business income from california sources of energy businesses (except public utilities) whose principal activity is the obtaining, processing, distributing or marketing of oil, gas, coal, or uranium. allows a tax credit against surtax of $0.50 for every dollar invested in california after january 1, 1979, to increase the production or refining of california crude oil or gas over 1978 base levels. requires that surtax proceeds be used to fund increased bus and rail service for californians and to develop alternative transportation fuels. prohibits businesses from passing surtax on to consumers. fiscal impact on local or state governments: depending on exact amount of tax credits claimed in each year, estimated state revenue increases of $150 to $420 million in 1980-81, and $165 to $470 million in 1981-82 could occur. under existing statutes, approximately one-half of increases would be distributed to local governments for improvement of public transit services.",1980_Prop_11,Taxes,Income
1980,2,Veterans Bond Act of 1980,"VETERANS BOND ACT OF 1980. This act provides for a bond issue of seven hundred fifty million dollars ($750,000,000) to provide farm and home aid for California veterans.",,,34.5,65.5,1.0,,,,1,"veterans bond act of 1980 veterans bond act of 1980. this act provides for a bond issue of seven hundred fifty million dollars ($750,000,000) to provide farm and home aid for california veterans.",1980_Prop_2,Bonds,Veterans
1980,3,State Capitol Maintenance,"STATE CAPITOL MAINTENANCE. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Prohibits any bill taking effect as urgency statute if it contains authorization or appropriation for alteration or modification of specified historically restored areas of State Capitol or for purchase of furniture of design different from the historic period of the Capitol restoration. Prohibits expenditure for above purposes without express appropriation. Fiscal impact on state or local governments: No immediate fiscal effect. By making it more difficult to change the restored Capitol and furnishings, there could be future cost avoidance.",,,49.05,50.95,1.0,,,,1,"state capitol maintenance state capitol maintenance. legislative constitutional amendment. prohibits any bill taking effect as urgency statute if it contains authorization or appropriation for alteration or modification of specified historically restored areas of state capitol or for purchase of furniture of design different from the historic period of the capitol restoration. prohibits expenditure for above purposes without express appropriation. fiscal impact on state or local governments: no immediate fiscal effect. by making it more difficult to change the restored capitol and furnishings, there could be future cost avoidance.",1980_Prop_3,Governance,Other Governance
1980,4,Low-Rent Housing,"LOW-RENT HOUSING. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Eliminates present requirement of advance approval at an election before a low-rent housing project can be developed, constructed, or acquired by a state public body. Substitutes therefor provisions that require advance public notice of such a project and subjects the project to a referendum election upon petition by 10 percent of the electors within 60 days of the notice. If project is not disapproved at the referendum election or no referendum is requested, the public body may proceed with the project without further referendum. Fiscal impact on state or local governments: Local election costs would be reduced by an unknown, but probably minor, amount. Possibly future public expenditure for low-rent housing would be increased.",,,58.93,41.07,0.0,,,,0,"low-rent housing low-rent housing. legislative constitutional amendment. eliminates present requirement of advance approval at an election before a low-rent housing project can be developed, constructed, or acquired by a state public body. substitutes therefor provisions that require advance public notice of such a project and subjects the project to a referendum election upon petition by 10 percent of the electors within 60 days of the notice. if project is not disapproved at the referendum election or no referendum is requested, the public body may proceed with the project without further referendum. fiscal impact on state or local governments: local election costs would be reduced by an unknown, but probably minor, amount. possibly future public expenditure for low-rent housing would be increased.",1980_Prop_4,Governance,Voting
1980,5,Freedom of Press. Legislative Constitutional Amendment.,"Maintains existing guarantees of free speech and press. Adds provisions prohibiting any contempt citation by a judicial, legislative, or administrative body against a publisher, editor, reporter, or other person connected with a newspaper, magazine, wire service, or radio or television news for refusing to disclose sources of information or unpublished information obtained in course of processing information for communication to the public. Fiscal impact on state or local governments: No significant fiscal impact.",,,26.69,73.31,1.0,,,,1,"freedom of press. legislative constitutional amendment. maintains existing guarantees of free speech and press. adds provisions prohibiting any contempt citation by a judicial, legislative, or administrative body against a publisher, editor, reporter, or other person connected with a newspaper, magazine, wire service, or radio or television news for refusing to disclose sources of information or unpublished information obtained in course of processing information for communication to the public. fiscal impact on state or local governments: no significant fiscal impact.",1980_Prop_5,Governance,Government Operations
1980,6,Reapportionment. Legislative constitutional amendment,"Repeals, amends, and restates various provisions of the Constitution relating to reapportionment of Senate, Assembly, congressional, and Board of Equalization districts. Eliminates provisions previously judicially invalidated. Eliminates requirement that only persons eligible to become citizens be counted in equalizing populations in legislative districts. Sets forth in a new article the standards to which the Legislature is required to conform in adjusting the boundaries of these districts each decade. These standards include requirements for single-member districts, reasonably equal population districts, contiguousness of a district, a consecutive numbering system, and respecting the geographical integrity of cities and counties. Fiscal impact on state or local governments: No direct fiscal effect.",,,45.3,54.7,1.0,,,,1,"reapportionment. legislative constitutional amendment repeals, amends, and restates various provisions of the constitution relating to reapportionment of senate, assembly, congressional, and board of equalization districts. eliminates provisions previously judicially invalidated. eliminates requirement that only persons eligible to become citizens be counted in equalizing populations in legislative districts. sets forth in a new article the standards to which the legislature is required to conform in adjusting the boundaries of these districts each decade. these standards include requirements for single-member districts, reasonably equal population districts, contiguousness of a district, a consecutive numbering system, and respecting the geographical integrity of cities and counties. fiscal impact on state or local governments: no direct fiscal effect.",1980_Prop_6,Governance,Other Governance
1980,7,Disaster Assistance.,"DISASTER ASSISTANCE. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Specifically provides that nothing in the Constitution shall prohibit the state, or any of its subdivisions or local governments, from providing aid to persons for the purpose of clearing debris, natural materials, and wreckage from private lands and waters deposited thereon during a major disaster or emergency declared by the President. Such aid must be found to be in the public interest and its cost eligible for federal reimbursement. Recipient must indemnify public entity from any claim against it arising from rendering such aid. Fiscal impact on state or local governments: No direct state or local costs.",,,17.07,82.93,1.0,,,,1,"disaster assistance. disaster assistance. legislative constitutional amendment. specifically provides that nothing in the constitution shall prohibit the state, or any of its subdivisions or local governments, from providing aid to persons for the purpose of clearing debris, natural materials, and wreckage from private lands and waters deposited thereon during a major disaster or emergency declared by the president. such aid must be found to be in the public interest and its cost eligible for federal reimbursement. recipient must indemnify public entity from any claim against it arising from rendering such aid. fiscal impact on state or local governments: no direct state or local costs.",1980_Prop_7,Governance,Disaster Funding
1980,8,Alternative Energy Sources Facilities Financing.,"ALTERNATIVE ENERGY SOURCES FACILITIES FINANCING. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Authorizes Legislature to provide for the issuance of revenue bonds to finance the acquisition, construction, and installation of alternative energy source facilities and for the lease or sale of such facilities to persons, associations, or corporations, other than municipal corporations. Provides that such revenue bonds shall not be secured by the taxing power of the state. Provides that the Legislature may, by resolution adopted by either house, prohibit or limit any proposed issuance of such bonds. Provides measure does not authorize any public agency to operate industrial or commercial enterprises. Fiscal impact on state or local governments: No direct fiscal effect. If revenue bonds are authorized in future by Legislature, indirect fiscal effects could possibly be increase in state and local bond interest costs, loss of state income tax revenues to the extent the bonds displace private financing, and increases in revenue from increased economic activity.",,,49.81,50.19,1.0,,,,1,"alternative energy sources facilities financing. alternative energy sources facilities financing. legislative constitutional amendment. authorizes legislature to provide for the issuance of revenue bonds to finance the acquisition, construction, and installation of alternative energy source facilities and for the lease or sale of such facilities to persons, associations, or corporations, other than municipal corporations. provides that such revenue bonds shall not be secured by the taxing power of the state. provides that the legislature may, by resolution adopted by either house, prohibit or limit any proposed issuance of such bonds. provides measure does not authorize any public agency to operate industrial or commercial enterprises. fiscal impact on state or local governments: no direct fiscal effect. if revenue bonds are authorized in future by legislature, indirect fiscal effects could possibly be increase in state and local bond interest costs, loss of state income tax revenues to the extent the bonds displace private financing, and increases in revenue from increased economic activity.",1980_Prop_8,Taxes,Income
